"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"400737089069002752","","","2013-11-13 21:29:02 +0000","<a href=""http://www.tweetlanes.com"" rel=""nofollow"">Tweet Lanes</a>","Hello twitter, long time no chat.  I'm coming back soon with new news.","","","",""
"399740389633970177","","24447643","2013-11-11 03:28:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@eddieizzard was AMAZING in Halifax tonight!  Definitely hope he returns, cause will make sure to have tickets every single time!","","","",""
"396731044931440641","","","2013-11-02 20:10:26 +0000","<a href=""http://batch.me"" rel=""nofollow"">Batch.me</a>","⊞ http://t.co/JaPjXEU0ch | mic check 1..2..","","","","http://batch.me"
"374326665171988482","","","2013-09-02 00:23:26 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Cat Headbob: http://t.co/PUOlWEzhjo via @YouTube","","","","http://youtu.be/sJy5ejzDvbY?a"
"373552481780768770","","","2013-08-30 21:07:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Going to see the Worlds End tonight with Erin!  Can't wait, this looks to be excellent :)","","","",""
"373230105843499008","","","2013-08-29 23:46:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Simon Pegg &amp; Nick Frost, doing what they do all so well.  Trust me, this'll be the best 76 minutes of your day. http://t.co/7SejVBXRPO","","","","http://buff.ly/15nZJ9d"
"370554592003887104","","","2013-08-22 14:34:33 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Inlaws inc in ~5 hours.  My list of things to do? Relatively short, but still important, so off to working on them I go.","","","",""
"369928599845232641","","","2013-08-20 21:07:05 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","If you're any type of developer with a webcam, give this a go.  It makes your commits that much more entertaining! http://t.co/0MsGTF0eXU","","","","http://buff.ly/1dpYzl7"
"369879794563158016","","","2013-08-20 17:53:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","If you flash CyanogenMod on your phone because you're tired of lack of support by the vendor, check this out. http://t.co/QjI7SLhG5f","","","","http://buff.ly/1bPX6TB"
"369862518375985152","","","2013-08-20 16:44:30 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Cleaning the house today.  Erin doesn't know it yet, and that makes it all the better that I get this done so she doesn't feel the need to.","","","",""
"369500203339890689","","","2013-08-19 16:44:48 +0000","<a href=""http://www.tweetlanes.com"" rel=""nofollow"">Tweet Lanes</a>","Check out Timely Alarm Clock! Download Timely, use 6Y53-68C7-4W7F and get a theme for free! http://t.co/yS55mEv35K","","","","http://r.bitsp.in/6Y5368C74W7F"
"368489495106052097","","","2013-08-16 21:48:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Time to start getting ready for some Jurassic Park in downtown Halifax.  Erin has been humming the theme since she got home from work.","","","",""
"367360773384728576","","","2013-08-13 19:03:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","And so begins the rain.  What a happy soul I am!","","","",""
"367342430556651520","","","2013-08-13 17:50:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Supposedly there's a storm incoming this evening.  I can only repeat myself so many times in saying ""Boy do I hope so"".","","","",""
"366962899714981889","","","2013-08-12 16:42:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","It's an exciting day with all sorts of hopes held high.  Fingers crossed folks, fingers crossed.","","","",""
"359782546394980353","","","2013-07-23 21:10:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm so very happy it's not sunny out today, now if it could just not be so damn humid.  92% humidity feels awful.","","","",""
